Country,Score
Singapore,6.523
Taiwan Province of China,6.503
Japan,6.060
South Korea,6.058
Philippines,6.048
Vietnam,6.043
Thailand,5.976
Malaysia,5.975
China,5.973
Mongolia,5.696
Indonesia,5.568
Hong Kong S.A.R. of China,5.316
Nepal,5.158
Laos,5.139
Pakistan,4.657
Myanmar,4.354
Cambodia,4.341
India,4.054
Sri Lanka,3.898
Bangladesh,3.886
Afghanistan,1.721
