Country,Score
Israel,7.341
Kuwait,6.951
United Arab Emirates,6.733
Saudi Arabia,6.594
Bahrain,5.959
Libya,5.866
Algeria,5.364
Iraq,5.166
Iran,4.923
State of Palestine,4.879
Morocco,4.795
Tunisia,4.422
Jordan,4.186
Egypt,3.977
Yemen,3.561
Lebanon,2.707
