Country,Score
Costa Rica,6.955
Mexico,6.678
Uruguay,6.611
El Salvador,6.469
Chile,6.36
Panama,6.358
Guatemala,6.287
Nicaragua,6.284
Brazil,6.272
Argentina,6.188
Paraguay,5.977
Honduras,5.968
Jamaica,5.842
Peru,5.841
Dominican Republic,5.823
Bolivia,5.784
Ecuador,5.725
Colombia,5.695
Venezuela,5.607
